Entity,Year,Greenhouse gas emissions per capita
Africa,2000,15.413796000000001
Africa,2001,15.306289500000002
Africa,2002,14.7945776
Africa,2003,15.4771
Africa,2004,16.69363
Africa,2005,15.79932
Africa,2006,16.360187
Africa,2007,16.8731507
Africa,2008,17.3069686
Africa,2009,16.9346943
Africa,2010,16.4238214
Africa,2011,15.906271
Africa,2012,15.6372075
Africa,2013,15.174379
Africa,2014,15.808057999999999
Africa,2015,15.4104943
Africa,2016,15.702925
Africa,2017,15.465017
Africa,2018,15.564774
Africa,2019,15.532489000000002
Africa,2020,14.7406977
Africa,2021,14.687234
Africa,2022,14.404498
Africa,2023,14.4224123
Africa,2024,14.335834
Asia Pacific,2000,117.4773876
Asia Pacific,2001,119.6735945
Asia Pacific,2002,116.4834552
Asia Pacific,2003,115.844223
Asia Pacific,2004,116.2396443
Asia Pacific,2005,108.4378471
Asia Pacific,2006,114.1716749
Asia Pacific,2007,113.4594489
Asia Pacific,2008,120.5693998
Asia Pacific,2009,116.2494073
Asia Pacific,2010,124.42853869999999
Asia Pacific,2011,126.4730037
Asia Pacific,2012,123.2592491
Asia Pacific,2013,120.54855549999999
Asia Pacific,2014,120.3700333
Asia Pacific,2015,115.8493365
Asia Pacific,2016,110.7389463
Asia Pacific,2017,111.356064
Asia Pacific,2018,110.3620801
Asia Pacific,2019,109.1654509
Asia Pacific,2020,104.6614915
Asia Pacific,2021,103.9481965
Asia Pacific,2022,102.3539005
Asia Pacific,2023,101.7071835
Asia Pacific,2024,101.5456232
Europe,2000,334.8575861
Europe,2001,341.7711767
Europe,2002,343.0405437
Europe,2003,354.0109815
Europe,2004,364.0059358
Europe,2005,358.2750392
Europe,2006,356.6831565
Europe,2007,365.5749788
Europe,2008,353.5371722
Europe,2009,331.1260228
Europe,2010,345.7729908
Europe,2011,333.1967013
Europe,2012,329.6476242
Europe,2013,320.3088449
Europe,2014,310.7047619
Europe,2015,314.373776
Europe,2016,312.0798161
Europe,2017,313.9718036
Europe,2018,310.7373331
Europe,2019,294.7767306
Europe,2020,269.9680762
Europe,2021,280.0587688
Europe,2022,271.5392306
Europe,2023,255.7817029
Europe,2024,252.8270181
Central and South America,2000,38.252003599999995
Central and South America,2001,36.800855600000006
Central and South America,2002,38.9575865
Central and South America,2003,46.584509
Central and South America,2004,39.3075957
Central and South America,2005,37.0540167
Central and South America,2006,36.2908222
Central and South America,2007,36.682924
Central and South America,2008,36.1266147
Central and South America,2009,34.1748635
Central and South America,2010,33.621699
Central and South America,2011,35.5370289
Central and South America,2012,40.350990100000004
Central and South America,2013,37.2365637
Central and South America,2014,35.5286728
Central and South America,2015,34.9309243
Central and South America,2016,33.3306726
Central and South America,2017,34.135331199999996
Central and South America,2018,33.1622094
Central and South America,2019,33.0902694
Central and South America,2020,31.4275674
Central and South America,2021,31.963694
Central and South America,2022,31.9049576
Central and South America,2023,31.109523799999998
Central and South America,2024,30.9837618
Middle East and Caspian,2000,21.1657114
Middle East and Caspian,2001,21.771028100000002
Middle East and Caspian,2002,21.459914
Middle East and Caspian,2003,21.5074648
Middle East and Caspian,2004,20.7040418
Middle East and Caspian,2005,20.3192191
Middle East and Caspian,2006,20.8459516
Middle East and Caspian,2007,20.5221175
Middle East and Caspian,2008,21.2886836
Middle East and Caspian,2009,19.3976334
Middle East and Caspian,2010,19.7353834
Middle East and Caspian,2011,20.08807
Middle East and Caspian,2012,21.122689299999998
Middle East and Caspian,2013,19.0198685
Middle East and Caspian,2014,18.1142903
Middle East and Caspian,2015,17.7565777
Middle East and Caspian,2016,17.594296399999998
Middle East and Caspian,2017,17.05122
Middle East and Caspian,2018,16.6512395
Middle East and Caspian,2019,16.3537757
Middle East and Caspian,2020,15.7052819
Middle East and Caspian,2021,16.041444300000002
Middle East and Caspian,2022,16.1101499
Middle East and Caspian,2023,15.2536487
Middle East and Caspian,2024,15.2454043
North America,2000,56.697131999999996
North America,2001,54.905508
North America,2002,54.316242
North America,2003,54.788225999999995
North America,2004,54.510617999999994
North America,2005,54.009194
North America,2006,51.441109
North America,2007,51.204572999999996
North America,2008,49.63062
North America,2009,44.967538000000005
North America,2010,45.222545
North America,2011,45.392519
North America,2012,44.709278
North America,2013,44.756984
North America,2014,45.154573
North America,2015,44.117908
North America,2016,42.447811
North America,2017,42.891277
North America,2018,42.713968
North America,2019,41.629422000000005
North America,2020,37.817503
North America,2021,39.393446
North America,2022,39.163153
North America,2023,38.690969
North America,2024,37.725414
EU27,2000,269.8583917
EU27,2001,276.6149834
EU27,2002,279.0728826
EU27,2003,288.44546230000003
EU27,2004,298.5502151
EU27,2005,292.8220399
EU27,2006,290.6831872
EU27,2007,298.3358528
EU27,2008,286.6340136
EU27,2009,265.9992815
EU27,2010,276.2375061
EU27,2011,269.352255
EU27,2012,263.9969989
EU27,2013,256.3453405
EU27,2014,248.8455403
EU27,2015,250.511177
EU27,2016,249.028811
EU27,2017,250.9307826
EU27,2018,248.8066718
EU27,2019,234.51632859999998
EU27,2020,212.60102849999998
EU27,2021,220.5640438
EU27,2022,212.4911063
EU27,2023,196.9408301
EU27,2024,193.1373788
